Timeline Trace
Generated on: 2021-10-30 14:05:52
Msec since Epoch: 1635595552802
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
7.117944,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
7.137602,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
7.146496,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
7.149104,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
7.153183,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
7.155516,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
7.157787,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
7.159814,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
7.162739,clGetPlatformInfo|General,START,,,,,,,,,,,4,
7.165792,clGetPlatformInfo|General,END,,,,,,,,,,,4,
7.167855,clGetPlatformInfo|General,START,,,,,,,,,,,5,
7.170075,clGetPlatformInfo|General,END,,,,,,,,,,,5,
7.172396,clGetPlatformInfo|General,START,,,,,,,,,,,6,
7.174459,clGetPlatformInfo|General,END,,,,,,,,,,,6,
7.176364,clGetPlatformInfo|General,START,,,,,,,,,,,7,
7.178246,clGetPlatformInfo|General,END,,,,,,,,,,,7,
7.188874,clGetPlatformInfo|General,START,,,,,,,,,,,8,
7.191119,clGetPlatformInfo|General,END,,,,,,,,,,,8,
7.193936,clGetPlatformInfo|General,START,,,,,,,,,,,9,
7.195923,clGetPlatformInfo|General,END,,,,,,,,,,,9,
7.206537,clGetDeviceIDs|General,START,,,,,,,,,,,10,
7.210634,clGetDeviceIDs|General,END,,,,,,,,,,,10,
7.213211,clGetDeviceIDs|General,START,,,,,,,,,,,11,
7.215378,clGetDeviceIDs|General,END,,,,,,,,,,,11,
7.22171,clRetainDevice|General,START,,,,,,,,,,,12,
7.224375,clRetainDevice|General,END,,,,,,,,,,,12,
7.227177,clRetainDevice|General,START,,,,,,,,,,,13,
7.229273,clRetainDevice|General,END,,,,,,,,,,,13,
7.232413,clCreateContext|General,START,,,,,,,,,,,14,
22.520101,clCreateContext|General,END,,,,,,,,,,,14,
22.551766,clCreateCommandQueue|General,START,,,,,,,,,,,15,
22.566934,clCreateCommandQueue|General,END,,,,,,,,,,,15,
71.032005,clCreateProgramWithBinary|General,START,,,,,,,,,,,16,
178.427976,clCreateProgramWithBinary|General,END,,,,,,,,,,,16,
178.478127,clCreateKernel|General,START,,,,,,,,,,,17,
188.706405,clCreateKernel|General,END,,,,,,,,,,,17,
188.736085,clCreateBuffer|General,START,,,,,,,,,,,18,
189.262153,clCreateBuffer|General,END,,,,,,,,,,,18,
189.269565,clCreateBuffer|General,START,,,,,,,,,,,19,
189.743917,clCreateBuffer|General,END,,,,,,,,,,,19,
189.752104,clCreateBuffer|General,START,,,,,,,,,,,20,
190.19482,clCreateBuffer|General,END,,,,,,,,,,,20,
190.206815,clCreateBuffer|General,START,,,,,,,,,,,21,
190.667033,clCreateBuffer|General,END,,,,,,,,,,,21,
190.673935,clCreateBuffer|General,START,,,,,,,,,,,22,
191.101772,clCreateBuffer|General,END,,,,,,,,,,,22,
191.108281,clCreateBuffer|General,START,,,,,,,,,,,23,
191.571185,clCreateBuffer|General,END,,,,,,,,,,,23,
191.578203,clCreateBuffer|General,START,,,,,,,,,,,24,
192.037833,clCreateBuffer|General,END,,,,,,,,,,,24,
192.043932,clCreateBuffer|General,START,,,,,,,,,,,25,
192.484965,clCreateBuffer|General,END,,,,,,,,,,,25,
192.491834,clCreateBuffer|General,START,,,,,,,,,,,26,
192.924118,clCreateBuffer|General,END,,,,,,,,,,,26,
192.930041,clCreateBuffer|General,START,,,,,,,,,,,27,
193.344162,clCreateBuffer|General,END,,,,,,,,,,,27,
193.350531,clCreateBuffer|General,START,,,,,,,,,,,28,
193.788584,clCreateBuffer|General,END,,,,,,,,,,,28,
193.794579,clCreateBuffer|General,START,,,,,,,,,,,29,
194.255404,clCreateBuffer|General,END,,,,,,,,,,,29,
194.263311,clCreateBuffer|General,START,,,,,,,,,,,30,
194.428668,clCreateBuffer|General,END,,,,,,,,,,,30,
194.432328,clCreateBuffer|General,START,,,,,,,,,,,31,
194.501491,clCreateBuffer|General,END,,,,,,,,,,,31,
194.504881,clCreateBuffer|General,START,,,,,,,,,,,32,
194.54482,clCreateBuffer|General,END,,,,,,,,,,,32,
194.548079,clCreateBuffer|General,START,,,,,,,,,,,33,
194.650731,clCreateBuffer|General,END,,,,,,,,,,,33,
194.653908,clCreateBuffer|General,START,,,,,,,,,,,34,
194.65678,clCreateBuffer|General,END,,,,,,,,,,,34,
194.659257,clCreateBuffer|General,START,,,,,,,,,,,35,
194.709815,clCreateBuffer|General,END,,,,,,,,,,,35,
194.71419,clSetKernelArg|General,START,,,,,,,,,,,36,
194.722326,clSetKernelArg|General,END,,,,,,,,,,,36,
194.725049,clSetKernelArg|General,START,,,,,,,,,,,37,
194.727993,clSetKernelArg|General,END,,,,,,,,,,,37,
194.730607,clSetKernelArg|General,START,,,,,,,,,,,38,
194.733274,clSetKernelArg|General,END,,,,,,,,,,,38,
194.735866,clSetKernelArg|General,START,,,,,,,,,,,39,
194.738557,clSetKernelArg|General,END,,,,,,,,,,,39,
194.741126,clSetKernelArg|General,START,,,,,,,,,,,40,
194.743938,clSetKernelArg|General,END,,,,,,,,,,,40,
194.746473,clSetKernelArg|General,START,,,,,,,,,,,41,
194.74905,clSetKernelArg|General,END,,,,,,,,,,,41,
194.751564,clSetKernelArg|General,START,,,,,,,,,,,42,
194.754364,clSetKernelArg|General,END,,,,,,,,,,,42,
194.756855,clSetKernelArg|General,START,,,,,,,,,,,43,
194.759402,clSetKernelArg|General,END,,,,,,,,,,,43,
194.761829,clSetKernelArg|General,START,,,,,,,,,,,44,
194.764491,clSetKernelArg|General,END,,,,,,,,,,,44,
194.766871,clSetKernelArg|General,START,,,,,,,,,,,45,
194.769448,clSetKernelArg|General,END,,,,,,,,,,,45,
194.771875,clSetKernelArg|General,START,,,,,,,,,,,46,
194.774472,clSetKernelArg|General,END,,,,,,,,,,,46,
194.776864,clSetKernelArg|General,START,,,,,,,,,,,47,
194.779416,clSetKernelArg|General,END,,,,,,,,,,,47,
194.781862,clSetKernelArg|General,START,,,,,,,,,,,48,
