Timeline Trace
Generated on: 2021-10-24 20:29:59
Msec since Epoch: 1635100199083
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.9.317
Build version branch: 2020.2_PU1
Build version hash: b0230e59e22351fb957dc46a6e68d7560e5f630c
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
10.566187,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
10.839203,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
11.031498,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
11.036161,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
11.040613,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
11.043509,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
11.046263,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
11.048598,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
11.051746,clGetPlatformInfo|General,START,,,,,,,,,,,4,
11.055253,clGetPlatformInfo|General,END,,,,,,,,,,,4,
11.057536,clGetPlatformInfo|General,START,,,,,,,,,,,5,
11.059905,clGetPlatformInfo|General,END,,,,,,,,,,,5,
11.062479,clGetPlatformInfo|General,START,,,,,,,,,,,6,
11.064793,clGetPlatformInfo|General,END,,,,,,,,,,,6,
11.066966,clGetPlatformInfo|General,START,,,,,,,,,,,7,
11.069141,clGetPlatformInfo|General,END,,,,,,,,,,,7,
11.084742,clGetPlatformInfo|General,START,,,,,,,,,,,8,
11.089316,clGetPlatformInfo|General,END,,,,,,,,,,,8,
11.093544,clGetPlatformInfo|General,START,,,,,,,,,,,9,
11.096069,clGetPlatformInfo|General,END,,,,,,,,,,,9,
11.113421,clGetDeviceIDs|General,START,,,,,,,,,,,10,
11.121466,clGetDeviceIDs|General,END,,,,,,,,,,,10,
11.124601,clGetDeviceIDs|General,START,,,,,,,,,,,11,
11.127279,clGetDeviceIDs|General,END,,,,,,,,,,,11,
11.247301,clRetainDevice|General,START,,,,,,,,,,,12,
11.252061,clRetainDevice|General,END,,,,,,,,,,,12,
11.255924,clRetainDevice|General,START,,,,,,,,,,,13,
11.258434,clRetainDevice|General,END,,,,,,,,,,,13,
11.265684,clCreateContext|General,START,,,,,,,,,,,14,
18.953693,clCreateContext|General,END,,,,,,,,,,,14,
